las_county;las_numb;residency;grid;name;sex;age;residence yrs;birth_inf;birth_mot;birth_fat;school;comment
SHETLAND;1;Ordale, Unst;412/6108;J.T.J.;m;61;22;Uyeasound,  Unst;same;same;;
SHETLAND;2;Uyeasound, Unst;412/5901;A.T.C.;m;64;46;Uyeasound,  Unst;same;same;;
SHETLAND;3;Cullivoe, Yell;412/5402;A.W.;m;79;70;Gloup, Cullivoe, Yell;Yell;Gloup, Cullivoe, Yell;;
SHETLAND;4;Colvister, Yell;411/5197;A.W.;m;29;26;Colvister, Yell;Houlland, Yell;Colvister, Yell;;
SHETLAND;5;Mid Yell;411/5190;C.J.I.;m;80;67;Setter, Surra Isle;Herra;Vatsie, Yell;;
SHETLAND;6;Westsandwick, Yell;411/4488;M.M.;m;87;80;Westsandwick, Yell;same;same;;
SHETLAND;7;Ulsta, Yell;411/4680;J.I.;m;32;21;Del ting;South of England;Del ting;;
SHETLAND;8;Midgarth, Yell;411/5285;A.J.;m;23;23;Otterswick, Yell;Aywick, Yell;Otterswick, Yell;;
SHETLAND;9;Burravoe;411/5280;E.J.W.;f;75;75;Kettlester, Burravoe;Burravoe;Lunnasting;;
SHETLAND;10;Eshaness;411/2178;J.H.J.;m;53;53;Eshaness;same;same;;
SHETLAND;11;Hillswick;411/2877;A.A.;f;58;12;Hillswick;Old Deer, Aberdeenshire;Hillswick;;
SHETLAND;12;Firth, Mossbank;411/4473;C.M.L.;f;64;60;–;–;Yell;;
SHETLAND;13;East Isle, Skerriei;411/6771;J.L.J.;m;65;62;West Isle, Skerries ;Whalsay;West Isle, Skerries ;;
SHETLAND;14;Laxo, Vidlin;411/4463;A.L.;m;55;51;Lunnasting;same;same;;
SHETLAND;15;Whalsay;411/5565;J.S.;m;51;24;Whalsay;same;same;;
SHETLAND;16;Huxter, Whalsay;411/5662;J.P.;m;68;65;Huxter, Whalsay;Railsbrough, Nesting;Huxter, Whalsey;;
SHETLAND;17;Sandness;411/1957;J.C.P.;m;73;71;Sandness;Papa Stour;Papa Stour;;
SHETLAND;18;East Burrafirth, Aith;411/3658;J.M.A.;f;46;11;Lerwick;Yell;Fetlar;;
SHETLAND;19;Skellister, Nesting;411/4654;I.A.;f;46;12;Lerwick;Delting;Lunnasting;;
SHETLAND;20;Ling Ness, Nesting;411/4954;G.G.;m;37;34;Ling Ness, Nesting;Ling Ness, Nesting;Eswick, Nesting;;
SHETLAND;21a;Walls;411/2449;A.P.;m;41;5;Lunnasting;same;same;;
SHETLAND;21b;Walls;411/2449;T.A.R.;m;45;14;Sandsting;same;same;;
SHETLAND;22;Gruting (Sch.) Walls;411/2749;E.G.l.C.;f;59;18;Delting;Nesting;Delting;;
SHETLAND;23;Sandsound, Tresta;411/3548;–.L.;f;–;80;Sandsound, Tresta;–;–;;
SHETLAND;24;Veensgarth;411/4244;L.G.;m;30;25;Stromfirth, Weisdale;Houll, Weisdale;Stromfirth, Weisdale ;;
SHETLAND;25;Lerwick;411/4741;T.M.;m;38;38;Lerwick;Lerwick;Sandness;;
SHETLAND;26;Foula;311/9638;v.c.;f;–;5;–;–;–;;
SHETLAND;27;Hamnavoe, Burra Isle ;411/3735;J.P.;m;57;31;Setter, Burra Isle ;Sandsting;Burra Isle ;;
SHETLAND;28;Ouarff;411/4235;J.D.T.;f;45;21;Lerwick;Yell;Gulberwick;;
SHETLAND;29;Brecks of Bigton ;411/3721;R.L.;m;66;63;Mewhouse, Bigton ;Brecks of Bigton ;Mewhouse, Bigton ;;
SHETLAND;30;Sandwick (Sch.);411/4323;R.W.T.;m;63;39;Sandwick;same;same;;
SHETLAND;31;Boddam (Sch.), Dunrossness;411/3916;L.H.G.;f;47;33;Dunrossness;Noss, Dunrossness ;Symblisetter, Dunrossness ;;
SHETLAND;32;Breck of Quendale;411/3713;M.E. L.;f;27;24;Quendale;Hillwell, Quendale;Breck of Quendale;;
SHETLAND;33;Fair Isle;410/2071;J.E.;m;42;14;Fair Isle;same;same;;
ORKNEY;1;Habreck, Westray;310/4552;G.M.R.;m;76;–;Habreck, Westray ;Pierowall, Westray ;Habreck, Westray ;;
ORKNEY;2;Mount Pleasant, Westray;310/4444;J.B.;m;62;59;Mount Pleasant, Westray ;same;same;;
ORKNEY;3;Ness, Rapness, Westray ;310/4939;D.l.B.;m;44;44;Ness Farm, Rapness, Westray;Newbigging, Rapness ;Sotteroshan, Rapnes;;
ORKNEY;4;Central (Sch.), Sanday ;310/6841;J.D.M.;m;45;4;Papa Westray ;same;same;;
ORKNEY;5;Bigland, Rousay ;310/4332;H.I.G. ;m;54;51;Rousay;Rendall Parish ;Rousay;;
ORKNEY;6;Egilsay (Sch.);310/4630;I.M.H.;f;40;3;Kirkwall;–;Kirkwall;;
ORKNEY;7;Birsay;310/2427;M.S.;f;70;70;Birsay;same;same;;
ORKNEY;8;School Brae, Stronsay ;310/6426;J.P.S.;m;72;65;Stronsay;same;same;;
ORKNEY;9;Stronsay;310/6622;J.R.F.;m;51;48;Stronsay;Sanday;Stronsay;;
ORKNEY;10;Appiehouse, Stenness ;310/2815;P.l. ;m;68;68;Stenness;same;same;;
ORKNEY;11;Finstown;310/3513;J.R.W.;m;73;70;Finstown;Sanday;Rendall;;
ORKNEY;12;Tankerness;310/5108;W.T.;m;70;1;Sanday;Sanday;North Ronaldsay ;;
ORKNEY;13a;Kirkwall;310/4410;C.M.C.;f;–;since birth ;Kirkwall;Walls, Hoy ;Rousay;;
ORKNEY;13b;Kirkwall;310/4410;H.M.;m;73;73;Rousay;same;same;;
ORKNEY;14;Stromness;310/2509;P.L.E.;m;74;72;Stromness;same;same;;
ORKNEY;15;Burnside, Kirbister ;310/3508;E.A.W.;f;72;50;Orkney;South Ronaldsay ;Orphir;;
ORKNEY;16;Hawill, Tankerness ;310/5006;R.W.G. ;m;54;22;Crotty, Tankerness ;Hawill;Sandsquoy;;
ORKNEY;17;Windbreck, Flotta;39/3593;A.S.S.;m;51;48;Windbreck, Flotta ;Saraquoy;Flotta;;
ORKNEY;18;St Margaret's Hope ;39/4493;J.L.;m;71;68;South Ronaldsay ;same;same;;
ORKNEY;19;Quoybanks, South Ronaldsay ;39/4290;E.H.;f;45;14;Kirkwall;same;same;;
ORKNEY;20;Melsetter, Hoy;39/2789;J.H.;m;74;50;Melsetter, Hoy;Melsetter, Hoy;Edinburgh, Midlothic;;
ORKNEY;21;South Walls (Sch.), Hoy;39/3189;T.M.W.;m;–;–;–;–;–;;(Completed by several local people, all over middle age)
CAITHNESS;1;Dunnet;39/2271;J.C.;f;92;75;Dunnet;same;same;;
CAITHNESS;2a;John O'Groats;39/3873;J.S.B.;m;63;60;John O'Groats;same;same;;
CAITHNESS;2b;John O'Groats (Sch.);39/3872;J.M.L.;f;38;3;Lyth;John O'Groats;Bower;;
CAITHNESS;3;Dounreay;29/9966;N.B.;m;–;since birth;–;–;–;;
CAITHNESS;4;Janetstown;39/0965;A.C.;f;40;25;North Berwick, East Lothian ;Janetstown;Ross-shire;;
CAITHNESS;5;Lyth (Sch.);39/2963;G.S.;m;55;25;John O'Groats;same;same;;
CAITHNESS;6;Keiss (Sch.);39/3461;A.M.;m;–;–;–;–;–;;Completed by four natives of district
CAITHNESS;7;Gersten;39/1259;J.I.T.;f;62;62;Halkirk;same;same;;
CAITHNESS;8;Achalone;39/1556;A.D.B.;f;52;38;Sibster;Bower Parish;Olrig, Wick;;
CAITHNESS;9;Dunn;39/1956;B.G.A.;f;46;43;Dunn;Dunn;Castletown;;
CAITHNESS;10;Harpsdale (Sch.) ;39/1354;A.S.;f;49;2;Thurso;Ross-shire;Dunbeath;;
CAITHNESS;11;Spittal (Sch.) ;39/1653;M.C.M.;f;47;22;Grangemouth, StirIingshire ;Berriedale;Lybster;;
CAITHNESS;12a;Wick;39/3650;D.B.;m;74;71;Wick;same;same;;
CAITHNESS;12b;Wick;39/3650;R.J.G.M.;m;88;88;Latheron;Caithness;Caithness;;
CAITHNESS;12c;Wick;39/3650;J.R.;m;–;–;–;–;–;;
CAITHNESS;13;Camster;39/2545;T.M.;m;77;47;Rhinivie, Bethy Hill, Sutherland ;Sutherland;Kildonan, StirIingshire;;
CAITHNESS;14;Old Stirkoke ;39/3249;D.B.M.;m;40;40;Stirkoke;Latheron;Halkirk;;
CAITHNESS;15;Latheron;39/1933;J.M.;m;73;23;Halkirk;Latheron;Strathmore, Halkirk ;;
CAITHNESS;16a;Mid-Clyth;39/2837;C.C.;f;69;29;Mid-Clyth;Camster;Roster;;
CAITHNESS;16b;Mid-Clyth;39/2837;J.A.M.;m;63;60;East Clyth ;Clyth Mains ;Boultach;;
CAITHNESS;17;Achow;39/2236;J.M.;m;43;30;Achow, Lybster ;Clyth;Achow;;
SUTHERLAND;1;Talmine;29/5862;H.M.;f;27;25;Talmine;Erribol, Durness;Taimine;;
SUTHERLAND;2;Armadale;29/7864;D.M.F.;m;60;18;Halladale;same;same;;
SUTHERLAND;3;Naver Bridge;29/7060;G.W.M.;m;71;71;Naver;Bettyhill;Bettyhill;;
;;;;A.M.;m;69;69;Achina;Bettyhill;Bettyhill;;
SUTHERLAND;4;Strathy West;29/8404;C.M.;f;77;42;Bettyhill;same;same;;
